stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
ABCH,"Abbé Chérel",,47.21004362,-1.65163899,,,1,,
ABDU,"Abel Durand",,47.22005849,-1.60325298,,,1,,
ABOL,"Adrienne Bolland",,47.26794667,-1.47660122,,,1,,
ACHA,"Angle Chaillou",,47.26971087,-1.57189622,,,1,,
ADBO,"Audubon",,47.21393466,-1.72304070,,,1,,
ADEL,"Aimé Delrue",,47.20898690,-1.55013941,,,1,,
ADPI,"Avenue des Pins",,47.25325890,-1.59659981,,,1,,
AECL,"Aéroclub",,47.15938736,-1.59803572,,,1,,
AEPO,"D2A - Aéroport",,47.15686225,-1.59741579,,,1,,
AESP,"Aérospatiale",,47.16134225,-1.58704692,,,1,,
AFRA,"Anatole France",,47.22367057,-1.57162985,,,1,,
AGBE,"L'Angebert",,47.14056117,-1.45575443,,,1,,
AGDR,"Angebardière",,47.16942145,-1.50521068,,,1,,
AGVI,"Angevinière",,47.24597226,-1.61104700,,,1,,
AIBU,"Airbus",,47.15798334,-1.59127862,,,1,,
AIGU,"Aiguillon",,47.25448411,-1.49660446,,,1,,
ALCH,"Champ de l'Alouette",,47.28291888,-1.58016180,,,1,,
ALDE,"Allende",,47.17527311,-1.62312916,,,1,,
ALNE,"Aulne",,47.27628919,-1.63841208,,,1,,
AMCA,"Armoricaine",,47.25826258,-1.64752203,,,1,,
AMER,"Américains",,47.23607974,-1.56826271,,,1,,
AMPE,"Ampère",,47.26072504,-1.55319084,,,1,,
ANGE,"Les Anges",,47.27515795,-1.63710377,,,1,,
ANTO,"Antons",,47.25783878,-1.62331809,,,1,,
APAV,"Apave",,47.22537146,-1.64749042,,,1,,
APER,"Ampère",,47.30219818,-1.50783344,,,1,,
APRE,"Ambroise Paré",,47.22908815,-1.60856584,,,1,,
AQUI,"Aquitaine",,47.20988552,-1.61497360,,,1,,
ARAG,"Arago",,47.30350530,-1.50484787,,,1,,
ARBO,"Arbois",,47.25838461,-1.58210153,,,1,,
ARCA,"Arcades",,47.21182995,-1.65277809,,,1,,
ARGO,"Argonautes",,47.30241995,-1.48191405,,,1,,
ARMO,"Armorique",,47.27152266,-1.44536593,,,1,,
AROR,"Armor",,47.23104050,-1.63182524,,,1,,
ATAR,"Antarès",,47.28166503,-1.45965683,,,1,,
AUCP,"La Chapelle Aulnay",,47.30836323,-1.54335920,,,1,,
AUFR,"L'Aufrère",,47.16734102,-1.52513142,,,1,,
AUGE,"Augé",,47.19498076,-1.51740323,,,1,,
AURR,"Aurore",,47.26488128,-1.58093056,,,1,,
AVEN,"Aveneaux",,47.23391561,-1.62972968,,,1,,
BAGA,"Bagatelle",,47.24353474,-1.61993625,,,1,,
BAIR,"Bel Air",,47.22575662,-1.55968206,,,1,,
BALI,"Balinière",,47.18605090,-1.55402157,,,1,,
BANS,"Bois des Anses",,47.24664486,-1.49490373,,,1,,
BARR,"La Barre",,47.30879510,-1.38151453,,,1,,
BAST,"Bastille",,47.17901270,-1.59695756,,,1,,
BATI,"Batignolles",,47.25556045,-1.53003021,,,1,,
BAUG,"Baugerie",,47.20379388,-1.52027534,,,1,,
BAVO,"Basse Orévière",,47.22038027,-1.65886933,,,1,,
BBNI,"Babinière",,47.25929789,-1.54625658,,,1,,
BBON,"Boisbonne",,47.28686061,-1.50834861,,,1,,
BBRE,"Barbinière",,47.15984337,-1.48162038,,,1,,
BCES,"Bois Cesbron",,47.26096955,-1.62431608,,,1,,
BCGA,"Bd Charles Gautier",,47.22282517,-1.60702642,,,1,,
BCHE,"Basse Chênaie",,47.24117824,-1.50918217,,,1,,
BCNY,"Bas-Chantenay",,47.19827246,-1.58919017,,,1,,
BCOI,"Branchoire",,47.21806578,-1.60339574,,,1,,
BCTT,"Blanchet",,47.17133674,-1.54317866,,,1,,
BDAN,"Bd des Anglais",,47.22672232,-1.58294850,,,1,,
BDEL,"Baudelaire",,47.23393631,-1.59256577,,,1,,
BDIN,"Bodinières",,47.20990294,-1.64192506,,,1,,
BDLA,"Bout des Landes",,47.26742549,-1.58228805,,,1,,
BDNN,"Bourdonnais",,47.20641639,-1.57950634,,,1,,
BDOU,"Bd de Doulon",,47.22432181,-1.52018349,,,1,,
BDPA,"Bout des Pavés",,47.25281077,-1.57620064,,,1,,
BDRI,"Bourderies",,47.20663320,-1.59590977,,,1,,
BDSP,"Bd des Sports",,47.16564624,-1.46885999,,,1,,
BEDR,"Bel Endroit",,47.15470970,-1.63398011,,,1,,
BEET,"Bel Être",,47.17945790,-1.56759648,,,1,,
BEGE,"Beauger",,47.23426481,-1.55307927,,,1,,
BEHI,"Behinière",,47.19701789,-1.79093353,,,1,,
BEIL,"Beillevaire",,47.24938735,-1.60726607,,,1,,
DPBL,"Bêle",,47.26475076,-1.51049581,,,1,,
BEMZ,"Belges - Montbazon",,47.23439888,-1.54008782,,,1,,
BENA,"Beaulieu",,47.20393339,-1.53713804,,,1,,
BEOC,"Belloc",,47.20305260,-1.61471617,,,1,,
BESS,"Bessonneau",,47.21462131,-1.71345944,,,1,,
BETO,"Belle Etoile",,47.28068352,-1.45206222,,,1,,
BEVA,"Beauvaiserie",,47.13622454,-1.65440339,,,1,,
BGAR,"Bonne Garde",,47.19677941,-1.53126859,,,1,,
BGCY,"Beaugency",,47.20381536,-1.49018924,,,1,,
BGLA,"Basse-Goulaine",,47.21039161,-1.46603522,,,1,,
BGNN,"Bourgonnière",,47.20664821,-1.65545291,,,1,,
BGOG,"Bourgogne",,47.24663549,-1.58916721,,,1,,
BGRI,"Bougrière",,47.25508877,-1.47174619,,,1,,
BGSH,"Bergerie",,47.23791510,-1.62825286,,,1,,
BGTT,"Bergeronnettes",,47.23928085,-1.60035784,,,1,,
BGUT,"Louis Breguet",,47.27201167,-1.46599732,,,1,,
BGVI,"Bougainville",,47.19897800,-1.58357404,,,1,,
BHAR,"Bois Hardy",,47.19828491,-1.60054396,,,1,,
BHLR,"Basse Hillière",,47.28667516,-1.42687789,,,1,,
BIAN,"Aristide Briand",,47.29642182,-1.49498960,,,1,,
BIEE,"Belle Île",,47.22289203,-1.73054707,,,1,,
BIGN,"Bignons",,47.19979898,-1.49350957,,,1,,
BILE,"Basse Île",,47.19568871,-1.56324647,,,1,,
BIND,"Basse-Indre",,47.19770693,-1.67305608,,,1,,
BIOT,"Bigeottière",,47.25587549,-1.61927002,,,1,,
BISS,"Bossis",,47.21248221,-1.71219766,,,1,,
BJLI,"Bois Jaulin",,47.17756340,-1.63678600,,,1,,
BJOI,"Beaujoire",,47.25884933,-1.52493010,,,1,,
BLCH,"Blancho",,47.21317010,-1.73498350,,,1,,
BLDR,"Boulodrome",,47.25834064,-1.51423074,,,1,,
BLEM,"Belem",,47.26561338,-1.45301035,,,1,,
BLGO,"Berligout",,47.21577076,-1.67839838,,,1,,
BLL9,"Bellestre",,47.14841340,-1.69436142,,,1,,
BLLE,"Bellestre",,47.14789342,-1.69400805,,,1,,
BLNO,"Bois de La Noé",,47.14175942,-1.67143640,,,1,,
BLOR,"Blordière",,47.17994075,-1.53381289,,,1,,
BLSL,"Bellevue",,47.23532809,-1.47369243,,,1,,
BLUA,"Bélouga",,47.16581426,-1.58339671,,,1,,
BLVU,"Mendès France - Bellevue",,47.20889327,-1.61131174,,,1,,
BLZZ,"Berlioz",,47.23950397,-1.57158884,,,1,,
BNCH,"Blanchetière",,47.28986488,-1.55588163,,,1,,
BNDA,"Brindais",,47.13893567,-1.71820118,,,1,,
BNET,"Bignonnet",,47.17553878,-1.46520570,,,1,,
BNGL,"Bénoni Goullin",,47.20167803,-1.55376743,,,1,,
BNIE,"Bournière",,47.25435766,-1.45536860,,,1,,
BNLU,"Bénélux",,47.25408884,-1.49909338,,,1,,
BNNO,"Bernanos",,47.20616329,-1.61385944,,,1,,
BNON,"Bignon",,47.24908175,-1.59775547,,,1,,
BNTA,"BN",,47.18396011,-1.49668431,,,1,,
BNVI,"Bonneville",,47.24384339,-1.53640808,,,1,,
BOCE,"Centre de Bouguenais",,47.17935986,-1.62291358,,,1,,
BODO,"Bourdonnières",,47.18638625,-1.52199103,,,1,,
BOFA,"Bouffay",,47.21456726,-1.55260028,,,1,,
BOGE,"Bourgeonnière",,47.25294296,-1.56131280,,,1,,
BOLL,"Bois Tillac",,47.20017883,-1.77127662,,,1,,
BOND,"Bonde",,47.22261834,-1.55214517,,,1,,
BORL,"Bourrelière",,47.15833317,-1.49841400,,,1,,
BOSI,"Boissière",,47.25521779,-1.56576739,,,1,,
BOTI,"Boutière",,47.15725341,-1.46809205,,,1,,
BOUE,"Bio Ouest Laënnec",,47.23275471,-1.64188080,,,1,,
BOVR,"Bouvre",,47.17826085,-1.61308193,,,1,,
BPTY,"Boulay Paty",,47.22886156,-1.57629050,,,1,,
BRAG,"Bois Raguenet",,47.26659652,-1.60044334,,,1,,
BRBI,"Bois Robillard",,47.23514220,-1.51977766,,,1,,
BRCH,"Bréchetière",,47.28468842,-1.50339577,,,1,,
BRDI,"Briandière",,47.18972751,-1.69202220,,,1,,
BRET,"Bretonnière",,47.16650278,-1.46285933,,,1,,
BRGA,"Beauregard",,47.21072345,-1.65656066,,,1,,
BRIN,"Brains",,47.17078527,-1.71899634,,,1,,
BRLA,"Brouillard",,47.27315386,-1.51494214,,,1,,
BRLN,"Berlin",,47.21653641,-1.53622373,,,1,,
BRNI,"Baronnière",,47.25953711,-1.60392152,,,1,,
BROS,"Brossais",,47.16245679,-1.58560857,,,1,,
BRTA,"Bretagne",,47.21707070,-1.55818626,,,1,,
BRUN,"Bruneau",,47.22824329,-1.56176187,,,1,,
BRVI,"Boris Vian",,47.15314483,-1.68357816,,,1,,
BSAN,"Bobby Sands",,47.22989006,-1.65301973,,,1,,
BSEJ,"Beauséjour",,47.23824329,-1.58701443,,,1,,
BSNI,"Bussonnière",,47.26972299,-1.44372625,,,1,,
BSOL,"Beau Soleil",,47.17752041,-1.64436806,,,1,,
BSTI,"Bastière",,47.14843303,-1.45940479,,,1,,
BSYS,"Bois St-Lys",,47.30028294,-1.48207373,,,1,,
BTAI,"Bretinais",,47.22170279,-1.66574133,,,1,,
BTEC,"Bretéché",,47.22529184,-1.54860985,,,1,,
BTIE,"Bottière",,47.24024468,-1.51815135,,,1,,
BTLE,"Bouteillerie",,47.22148019,-1.54350501,,,1,,
BTRA,"Bertrand",,47.25712536,-1.57563141,,,1,,
BUGA,"Bugallière",,47.25989992,-1.63789321,,,1,,
BULA,"Butte des Landes",,47.16077942,-1.49378527,,,1,,
BUON,"Bougon",,47.17418788,-1.61066406,,,1,,
BUSS,"Buisson",,47.26060509,-1.48742297,,,1,,
BVDI,"Bouvardière",,47.23835837,-1.59841068,,,1,,
BVER,"Bouvernière",,47.23762328,-1.61163942,,,1,,
BVOI,"Beauvoir",,47.17846824,-1.63068395,,,1,,
BYCE,"Centre de Bouaye",,47.14389569,-1.69169656,,,1,,
BYGA,"Gare de Bouaye",,47.13838428,-1.68083896,,,1,,
BYTO,"Bouaye Coteaux",,47.16477865,-1.67886486,,,1,,
BZAR,"Buzardières",,47.20725278,-1.65963116,,,1,,
CABR,"Cabrol",,47.20325820,-1.58859645,,,1,,
CACE,"Centre de Carquefou",,47.29714506,-1.49012870,,,1,,
CADO,"Cadoire",,47.25671175,-1.48804666,,,1,,
CAGE,"Chalonges",,47.27613635,-1.42939758,,,1,,
CAHL,"Charlière",,47.32101197,-1.55055505,,,1,,
CAIO,"Caillou Blanc",,47.29864722,-1.58556896,,,1,,
CALI,"Californie",,47.19086120,-1.58531429,,,1,,
CANC,"Canclaux",,47.21383536,-1.57489018,,,1,,
CAPE,"Capellia",,47.27967710,-1.55496349,,,1,,
CARQ,"Carquefou",,47.30370254,-1.48536605,,,1,,
CAST,"Castorama",,47.25896592,-1.50696007,,,1,,
CATI,"Cartier",,47.26820359,-1.45550147,,,1,,
CAUX,"Château D'Aux",,47.18534810,-1.67454951,,,1,,
CBAC,"Bac de Couëron",,47.20598337,-1.75170597,,,1,,
CBEA,"Charbonneau",,47.30062970,-1.49080200,,,1,,
CBGE,"Chapeau Berger",,47.17101690,-1.46882696,,,1,,
CBIN,"Corbinerie",,47.16160499,-1.54213560,,,1,,
CBLE,"Chemin Bleu",,47.17822438,-1.52497724,,,1,,
CBOU,"Couëron Bougon",,47.22507921,-1.73401375,,,1,,
CBRD,"Claude Bernard",,47.22304901,-1.61174831,,,1,,
CBSS,"Cambronne",,47.20660534,-1.50645822,,,1,,
CBTE,"Choblèterie",,47.13620886,-1.46142133,,,1,,
CCAN,"Couchant",,47.26848778,-1.59960347,,,1,,
CCDI,"Cochardières",,47.22992076,-1.63319007,,,1,,
CCHA,"Couchant",,47.27009278,-1.51388529,,,1,,
CCOU,"Champ de Courses",,47.24451408,-1.56122079,,,1,,
CCRE,"Chêne Creux",,47.17045652,-1.54876905,,,1,,
CDAN,"Chêne des Anglais",,47.26153847,-1.57308607,,,1,,
CDCO,"Cité des Congrès",,47.21349749,-1.54495376,,,1,,
CDMA,"Champ de Manoeuvre",,47.27269353,-1.50072902,,,1,,
CECE,"Centre de La Chapelle",,47.29913684,-1.54842829,,,1,,
CEDR,"Cèdre",,47.29944073,-1.56025341,,,1,,
CEER,"Chapellerie",,47.28290704,-1.42315171,,,1,,
CEGA,"Gare de La Chapelle",,47.29586473,-1.54896610,,,1,,
CELL,"Le Cellier",,47.32676240,-1.34800097,,,1,,
CFOI,"Champ de Foire",,47.12460773,-1.61856478,,,1,,
CGAU,"Cimetière Gaudinière",,47.24311497,-1.58272698,,,1,,
CGLA,"Chêne Gala",,47.18316762,-1.53920230,,,1,,
CHAB,"Chabossière",,47.21532409,-1.68216819,,,1,,
CHBE,"Chambelles",,47.23162916,-1.53062861,,,1,,
CHER,"La Cochère",,47.20041546,-1.77830108,,,1,,
CHFL,"Champ Fleuri",,47.14409184,-1.52567728,,,1,,
CHGN,"Châtaigniers",,47.22171128,-1.60185565,,,1,,
CHIN,"La Chesnaie",,47.28167117,-1.53759214,,,1,,
CHLI,"Cholière",,47.25099949,-1.60671565,,,1,,
CHME,"Charmes",,47.19080176,-1.46099838,,,1,,
CHNI,"Charbonnière",,47.26369070,-1.64229005,,,1,,
CHOC,"Chocolaterie",,47.24276681,-1.52801535,,,1,,
CHPO,"Champonnière",,47.16352336,-1.50568819,,,1,,
CHRE,"Chalâtres",,47.23102500,-1.53877622,,,1,,
CHSS,"Chaussée",,47.17665780,-1.52100989,,,1,,
CHTE,"Châtelets",,47.19716701,-1.54058346,,,1,,
CHVE,"Chauvais",,47.33740081,-1.57166574,,,1,,
CHZY,"Chanzy",,47.22360468,-1.54546241,,,1,,
CIGL,"Chai Gallais",,47.13700078,-1.72157408,,,1,,
CIVL,"Circuit du Vallon",,47.27364742,-1.44741776,,,1,,
CJOS,"Cimetière St-Joseph",,47.26818374,-1.52158608,,,1,,
CLAM,"Clos Ami",,47.21215380,-1.65549491,,,1,,
CLBO,"Clos Bonnet",,47.18943855,-1.56392208,,,1,,
CLET,"Clétras",,47.25544747,-1.51078671,,,1,,
CLGE,"Chalonges",,47.18915535,-1.47262002,,,1,,
CLMO,"Cimetière La Montagne",,47.18732581,-1.68649020,,,1,,
CLNA,"Colonac",,47.22507475,-1.60282256,,,1,,
CLOT,"Clotais",,47.19301110,-1.71822262,,,1,,
CLPT,"Clépettre",,47.29667711,-1.54706585,,,1,,
CLRO,"Clos Roux",,47.19812679,-1.74954625,,,1,,
CLSE,"Closeaux",,47.23931980,-1.62784519,,,1,,
CLTT,"Châlet",,47.22942048,-1.54451867,,,1,,
CLUE,"Clouet",,47.16748940,-1.51085257,,,1,,
CLZE,"Clouzeaux",,47.17931163,-1.49260400,,,1,,
CMAR,"Cirque - Marais",,47.21805370,-1.55724257,,,1,,
CMCI,"Clémencière",,47.26948770,-1.43572725,,,1,,
CMLL,"Charmille",,47.25707866,-1.60617584,,,1,,
CMNE,"Commune 1871",,47.19932642,-1.49967325,,,1,,
CMOU,"Clos du Moulin",,47.14516318,-1.52131364,,,1,,
CMRA,"Cormerais",,47.19475932,-1.62707891,,,1,,
CMSY,"Carrière Misery",,47.19982789,-1.58022151,,,1,,
CMUS,"Camus",,47.21928251,-1.57285071,,,1,,
CNAV,"Chantiers Navals",,47.20884925,-1.56779810,,,1,,
CNCE,"Chenonceau",,47.27263470,-1.43447667,,,1,,
CNGO,"Congo",,47.24067949,-1.60913535,,,1,,
CNLA,"Canal",,47.21612339,-1.47178276,,,1,,
CNNT,"Chemin Nantais",,47.28869640,-1.43370965,,,1,,
CNON,"Chinon",,47.27413636,-1.42900524,,,1,,
CNTR,"Centaure",,47.17000334,-1.62715098,,,1,,
CNVR,"Chêne Vert",,47.28625856,-1.43946571,,,1,,
COAY,"Corlay",,47.20794484,-1.64414014,,,1,,
COCH,"Cochard",,47.22402387,-1.55052864,,,1,,
COET,"Les Couëts",,47.18069157,-1.58668691,,,1,,
COHO,"Chohonnière",,47.26314626,-1.48602114,,,1,,
COLI,"Colinière",,47.23587021,-1.50836278,,,1,,
COMM,"Commerce",,47.21354486,-1.55623236,,,1,,
CONI,"Corniche",,47.25262913,-1.59438669,,,1,,
CORA,"Conraie",,47.26089554,-1.58840988,,,1,,
COST,"Cousteau",,47.23986299,-1.51291605,,,1,,
COTA,"Coutancière",,47.30617449,-1.56007737,,,1,,
COUD,"Coudray",,47.23214764,-1.54248589,,,1,,
CP3R,"Chapelles",,47.16356526,-1.53851259,,,1,,
CP4L,"Chapelle Laënnec",,47.23535037,-1.63778655,,,1,,
CPER,"Copernic - Musées",,47.21487992,-1.56477358,,,1,,
CPGT,"Capitaine Grant",,47.26176872,-1.66947834,,,1,,
CPRE,"Chaupières",,47.24314729,-1.49505252,,,1,,
CPTE,"Chapelet",,47.13205641,-1.64156579,,,1,,
CQGU,"Chat qui Guette",,47.19195370,-1.69713186,,,1,,
CQLU,"Coqueluchon",,47.18380011,-1.47038954,,,1,,
CRAI,"Clairais",,47.27555119,-1.43856757,,,1,,
CRBE,"Corberie",,47.15245718,-1.52396069,,,1,,
CRCE,"Courocerie",,47.25177254,-1.49936106,,,1,,
CREZ,"Château de Rezé",,47.18481208,-1.55976164,,,1,,
CRME,"Crémetterie",,47.21827419,-1.60833549,,,1,,
CRNO,"Corbon",,47.21335549,-1.46090204,,,1,,
CROU,"Chemin Rouge",,47.25157842,-1.51760872,,,1,,
CRPO,"Criport",,47.15833439,-1.50356505,,,1,,
CRQU,"Place du Cirque",,47.21666940,-1.55684175,,,1,,
CRRO,"Claire Roman",,47.15470775,-1.59132362,,,1,,
CRSA,"Croissant",,47.24103597,-1.52997054,,,1,,
